Site,Species,Sapling,Length1,Date1,Length2,Date2,Length3,Date3,Length4,Date4,Length5,Date5,Notes5,Length6,Date6,Notes6
1,lirtu,1-A2 lirtu,20.3,5/11/17,20.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,pinta,1-A3 pinta,18.7,5/11/17,30,9/20/17,28.9,6/7/18,37.5,12/11/18,37.5,4/25/19,,46.6,8/13/19,
1,abiba,1-A4 abiba,21.8,5/11/17,26,9/20/17,23.4,6/7/18,26,12/11/18,26,4/25/19,,26.7,8/13/19,
1,junvi,1-A5 junvi,32.5,5/11/17,31.5,9/20/17,31.5,6/7/18,34,12/11/18,34,4/25/19,in decline,35,8/13/19,
1,aceru,1-B1 aceru,25,5/11/17,30,9/20/17,30,6/7/18,32,12/11/18,32,4/25/19,,17.8,8/13/19,top dead
1,pinvi,1-B2 pinvi,13.5,5/11/17,25,9/20/17,25,6/7/18,34,12/11/18,34,4/25/19,,55.8,8/13/19,
1,pinri,1-B3 pinri,19,5/11/17,30.5,9/20/17,30.5,6/7/18,42,12/11/18,42,4/25/19,,52.6,8/13/19,
1,lirtu,1-B4 lirtu,22,5/11/17,22.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,picru,1-B5 picru,16,5/11/17,15.5,9/20/17,15.1,6/7/18,13.5,12/11/18,13.5,4/25/19,,14,8/13/19,
1,quepr,1-C1 quepr,40.3,5/11/17,41.5,9/20/17,39.1,6/7/18,44.5,12/11/18,44.5,4/25/19,,50.5,8/13/19,
1,pinst,1-C2 pinst,36.5,5/11/17,44,9/20/17,43.9,6/7/18,44.6,12/11/18,44.6,4/25/19,,63,8/13/19,
1,queru,1-C3 queru,22,5/11/17,26,9/20/17,26,6/7/18,29,12/11/18,29,4/25/19,,30.5,8/13/19,
1,queru,1-C4 queru,24.5,5/11/17,24.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,abiba,1-C5 abiba,20.7,5/11/17,24,9/20/17,21.9,6/7/18,24.5,12/11/18,,4/25/19,dead,,8/13/19,
1,queal,1-D1 queal,27.5,5/11/17,33,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,aceru,1-D2 aceru,29,5/11/17,35,9/20/17,35,6/7/18,33.5,12/11/18,33.5,4/25/19,,32.2,8/13/19,
1,picgl,1-D3 picgl,13.8,5/11/17,16,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,quepr,1-D4 quepr,46,5/11/17,47.5,9/20/17,47.5,6/7/18,58.5,12/11/18,58.5,4/25/19,,62.1,8/13/19,
1,queal,1-D5 queal,21.5,5/11/17,25,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,pinri,1-E1 pinri,15,5/11/17,19,9/20/17,19,6/7/18,31,12/11/18,31,4/25/19,,40.6,8/13/19,
1,quepr,1-E2 quepr,97.3,5/11/17,99.5,9/20/17,99.5,6/7/18,107,12/11/18,107,4/25/19,,113.2,8/13/19,
1,pinta,1-E3 pinta,7,5/11/17,12,9/20/17,12,6/7/18,17,12/11/18,17,4/25/19,,,8/13/19,dead
1,aceru,1-E4 aceru,22,5/11/17,22.5,9/20/17,9.5,6/7/18,11,12/11/18,9.5,4/25/19,top died,,8/13/19,dead
1,pinvi,1-E5 pinvi,6.3,5/11/17,12.5,9/20/17,12.5,6/7/18,18,12/11/18,18,4/25/19,,27,8/13/19,
1,picru,1-F1 picru,18,5/11/17,19,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,robps,1-F2 robps,37,5/11/17,85,9/20/17,84.8,6/7/18,182,12/11/18,182,4/25/19,,240,8/13/19,
1,abiba,1-F3 abiba,16,5/11/17,20,9/20/17,19.2,6/7/18,19,12/11/18,19,4/25/19,,19.3,8/13/19,
1,pinta,1-F4 pinta,14,5/11/17,23,9/20/17,23,6/7/18,32.5,12/11/18,32.5,4/25/19,,40.3,8/13/19,
1,pinba,1-F5 pinba,57.5,5/11/17,57,9/20/17,57,6/7/18,69,12/11/18,69,4/25/19,,80.7,8/13/19,
1,pruse,1-F6 pruse,58.8,5/11/17,60.5,9/20/17,60.5,6/7/18,60,12/11/18,60,4/25/19,,43,8/13/19,top dead
1,robps,1-G1 robps,20.2,5/11/17,61,9/20/17,61,6/7/18,120,12/11/18,120,4/25/19,,184,8/13/19,cm
1,pruse,1-G2 pruse,51.3,5/11/17,55,9/20/17,45.2,6/7/18,54.5,12/11/18,54.5,4/25/19,,18.8,8/13/19,top dead
1,picru,1-G3 picru,13.5,5/11/17,13.5,9/20/17,13.5,6/7/18,15,12/11/18,15,4/25/19,,16,8/13/19,
1,picgl,1-G4 picgl,18,5/11/17,26,9/20/17,18.9,6/7/18,26,12/11/18,26,4/25/19,,26.3,8/13/19,
1,pinri,1-G5 pinri,35.3,5/11/17,44,9/20/17,44,6/7/18,59,12/11/18,59,4/25/19,,79.7,8/13/19,
1,queru,1-G6 queru,23,5/11/17,27.5,9/20/17,27.5,6/7/18,28,12/11/18,28,4/25/19,,28.5,8/13/19,
1,pinst,1-H1 pinst,34.5,5/11/17,34,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,junvi,1-H2 junvi,29.5,5/11/17,29,9/20/17,24.5,6/7/18,31,12/11/18,31,4/25/19,,30.6,8/13/19,
1,queal,1-H3 queal,17.5,5/11/17,23.5,9/20/17,23.5,6/7/18,24,12/11/18,24,4/25/19,,25,8/13/19,
1,robps,1-H4 robps,31.5,5/11/17,113,9/20/17,113,6/7/18,206,12/11/18,206,4/25/19,,250,8/13/19,
1,pruse,1-H5 pruse,56,5/11/17,60,9/20/17,58.4,6/7/18,58,12/11/18,0.5,4/25/19,top dead?,4.5,8/13/19,top dead
1,pinvi,1-H6 pinvi,13,5/11/17,18.5,9/20/17,18.5,6/7/18,31,12/11/18,31,4/25/19,,37.2,8/13/19,
1,pinba,1-I1 pinba,44,5/11/17,58,9/20/17,56.1,6/7/18,87.5,12/11/18,87.5,4/25/19,,124.1,8/13/19,
1,pinba,1-I2 pinba,44.5,5/11/17,65.5,9/20/17,64.2,6/7/18,95,12/11/18,95,4/25/19,,139.5,8/13/19,
1,lirtu,1-I3 lirtu,14,5/11/17,16,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,pinst,1-I4 pinst,44.5,5/11/17,20,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,junvi,1-I5 junvi,24,5/11/17,26,9/20/17,26,6/7/18,27.5,12/11/18,27,4/25/19,,27,8/13/19,
1,picgl,1-I6 picgl,27.5,5/11/17,33.5,9/20/17,17.5,6/7/18,33,12/11/18,33,4/25/19,,33,8/13/19,
1,junvi,1-J1 junvi,34.5,5/11/17,35,9/20/17,35,6/7/18,37,12/11/18,37,4/25/19,,39.5,8/13/19,
1,pinst,1-J2 pinst,32.5,5/11/17,36.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,pinvi,1-J3 pinvi,19,5/11/17,27.5,9/20/17,27,6/7/18,39,12/11/18,39,4/25/19,,55.9,8/13/19,
1,picgl,1-J4 picgl,21,5/11/17,28,9/20/17,21.7,6/7/18,26,12/11/18,26,4/25/19,,29,8/13/19,
1,pinba,1-J5 pinba,6,5/11/17,24.5,9/20/17,22.2,6/7/18,48.5,12/11/18,48.5,4/25/19,,74.8,8/13/19,
1,aceru,1-J6 aceru,17,5/11/17,17,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,pruse,1-K1 pruse,58.8,5/11/17,52,9/20/17,52,6/7/18,58.5,12/11/18,20,4/25/19,top dead?,28.2,8/13/19,top dead
1,queal,1-K2 queal,24.5,5/11/17,26.5,9/20/17,26.5,6/7/18,28,12/11/18,28,4/25/19,,,8/13/19,dead
1,pinta,1-K3 pinta,19.5,5/11/17,22,9/20/17,22,6/7/18,36,12/11/18,36,4/25/19,,46.7,8/13/19,
1,pinri,1-K4 pinri,20,5/11/17,28,9/20/17,28,6/7/18,44,12/11/18,44,4/25/19,,54.5,8/13/19,
1,picru,1-K5 picru,22,5/11/17,25.5,9/20/17,24.7,6/7/18,25,12/11/18,25,4/25/19,,29.9,8/13/19,
1,pinst,1-K6 pinst,11.5,5/11/17,17.5,9/20/17,17.5,6/7/18,17.5,12/11/18,17.5,4/25/19,,23.2,8/13/19,
1,picgl,1-L1 picgl,25,5/11/17,38,9/20/17,36.5,6/7/18,36.5,12/11/18,36.5,4/25/19,,38.2,8/13/19,
1,quepr,1-L2 quepr,72,5/11/17,81,9/20/17,81,6/7/18,86.5,12/11/18,86.5,4/25/19,,85,8/13/19,
1,pinba,1-L3 pinba,11.9,5/11/17,17.5,9/20/17,17.5,6/7/18,38,12/11/18,38,4/25/19,,53,8/13/19,
1,quepr,1-L4 quepr,69,5/11/17,72.5,9/20/17,72.5,6/7/18,78.5,12/11/18,78.5,4/25/19,,78.9,8/13/19,
1,aceru,1-L5 aceru,25,5/11/17,26.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,picru,1-L6 picru,13,5/11/17,14,9/20/17,13.8,6/7/18,15,12/11/18,15,4/25/19,,16.5,8/13/19,
1,abiba,1-M1 abiba,13.6,5/11/17,19,9/20/17,18.5,6/7/18,18.5,12/11/18,18.5,4/25/19,,19.5,8/13/19,
1,picgl,1-M2 picgl,24,5/11/17,25,9/20/17,25,6/7/18,32,12/11/18,32,4/25/19,,33,8/13/19,
1,aceru,1-M3 aceru,31.5,5/11/17,31.5,9/20/17,28.7,6/7/18,29.5,12/11/18,29.5,4/25/19,,17.8,8/13/19,top dead
1,pinvi,1-M4 pinvi,10.5,5/11/17,23,9/20/17,23,6/7/18,28.5,12/11/18,28.5,4/25/19,,41.2,8/13/19,
1,robps,1-M5 robps,42.8,5/11/17,121,9/20/17,110,6/7/18,182,12/11/18,182,4/25/19,,240,8/13/19,
1,robps,1-M6 robps,38,5/11/17,73,9/20/17,70.6,6/7/18,182,12/11/18,182,4/25/19,,173,8/13/19,
1,pinta,1-N1 pinta,6.5,5/11/17,17,9/20/17,17,6/7/18,21,12/11/18,21,4/25/19,,22,8/13/19,
1,queru,1-N2 queru,13.4,5/11/17,14,9/20/17,14,6/7/18,15,12/11/18,15,4/25/19,,18,8/13/19,
1,pinri,1-N3 pinri,14.5,5/11/17,25,9/20/17,25,6/7/18,33.5,12/11/18,33.5,4/25/19,,44.4,8/13/19,
1,queal,1-N4 queal,19,5/11/17,19.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,pinta,1-N5 pinta,24.5,5/11/17,38,9/20/17,33.6,6/7/18,46.5,12/11/18,40,4/25/19,in decline,11.1,8/13/19,top dead
1,pinvi,1-O1 pinvi,15.5,5/11/17,24.5,9/20/17,23.4,6/7/18,32.6,12/11/18,32.6,4/25/19,,40,8/13/19,
1,picru,1-O2 picru,26.5,5/11/17,27.5,9/20/17,27.5,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,abiba,1-O3 abiba,15.6,5/11/17,20.5,9/20/17,20.5,6/7/18,20.8,12/11/18,20.8,4/25/19,,22.6,8/13/19,
1,junvi,1-O4 junvi,27,5/11/17,28.5,9/20/17,27.2,6/7/18,28,12/11/18,28,4/25/19,in decline,29.8,8/13/19,
1,pinst,1-O5 pinst,27,5/11/17,30,9/20/17,21.7,6/7/18,30.5,12/11/18,30.5,4/25/19,,45,8/13/19,
1,lirtu,1-P1 lirtu,37.2,5/11/17,38.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,junvi,1-P2 junvi,27.5,5/11/17,29,9/20/17,27.8,6/7/18,29.1,12/11/18,29.1,4/25/19,in decline,30.2,8/13/19,
1,lirtu,1-P3 lirtu,31.3,5/11/17,32,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,queru,1-P4 queru,27,5/11/17,29,9/20/17,20.6,6/7/18,28,12/11/18,20,4/25/19,top dead,21.5,8/13/19,top dead
1,pruse,1-P5 pruse,52.5,5/11/17,55,9/20/17,2,6/7/18,4.5,12/11/18,4.5,4/25/19,,7.6,8/13/19,top dead
1,queru,1-Q1 queru,26.4,5/11/17,35.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,robps,1-Q2 robps,40,5/11/17,138,9/20/17,138,6/7/18,244,12/11/18,244,4/25/19,,243,8/13/19,
1,pruse,1-Q3 pruse,61.7,5/11/17,61,9/20/17,21.5,6/7/18,25,12/11/18,25,4/25/19,,7,8/13/19,top dead
1,abiba,1-Q4 abiba,14.3,5/11/17,21.5,9/20/17,16.5,6/7/18,20,12/11/18,20,4/25/19,,23.2,8/13/19,
1,lirtu,1-Q5 lirtu,20.8,5/11/17,21.5,9/20/17,,6/7/18,,12/11/18,,4/25/19,empty,,8/13/19,
1,quepr,1-R2 quepr,58.5,5/11/17,38,9/20/17,34,6/7/18,73,12/11/18,73,4/25/19,,77.5,8/13/19,
1,pinba,1-R3 pinba,39,5/11/17,57,9/20/17,54.4,6/7/18,78,12/11/18,78,4/25/19,,110,8/13/19,
1,pinri,1-R4 pinri,32.5,5/11/17,44,9/20/17,44,6/7/18,60,12/11/18,60,4/25/19,,74.1,8/13/19,
1,queal,1-R5 queal,26.3,5/11/17,34,9/20/17,34,6/7/18,37.5,12/11/18,37.5,4/25/19,,38.6,8/13/19,
2,lirtu,2-A2 lirtu,30.2,5/11/17,31,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,planted
2,pinta,2-A3 pinta,15,5/11/17,27,9/14/17,25.5,6/7/18,14.5,12/11/18,9.7,4/25/19,top dead,,8/13/19,"total length, dead stem"
2,abiba,2-A4 abiba,20.8,5/11/17,23,9/14/17,23,6/7/18,23.5,12/11/18,23.5,4/25/19,,27.6,8/13/19,
2,junvi,2-A5 junvi,32.4,5/11/17,28,9/14/17,28,6/7/18,43,12/11/18,43,4/25/19,,47.5,8/13/19,
2,aceru,2-B1 aceru,34.6,5/11/17,40,9/14/17,37,6/7/18,48.8,12/11/18,48.8,4/25/19,,50.2,8/13/19,
2,pinvi,2-B2 pinvi,10.1,5/11/17,14,9/14/17,14,6/7/18,23,12/11/18,15.5,4/25/19,"top linked over, still green ",36.7,8/13/19,
2,pinri,2-B3 pinri,42,5/11/17,52,9/14/17,49,6/7/18,64,12/11/18,64,4/25/19,,83.5,8/13/19,
2,lirtu,2-B4 lirtu,29,5/11/17,34,9/14/17,34,6/7/18,,12/11/18,,4/25/19,dead?,,8/13/19,
2,picru,2-B5 picru,14,5/11/17,13,9/14/17,13,6/7/18,14.5,12/11/18,13.7,4/25/19,,15.8,8/13/19,
2,quepr,2-C1 quepr,69,5/11/17,69,9/14/17,69,6/7/18,72.5,12/11/18,72.5,4/25/19,,69.4,8/13/19,
2,pinst,2-C2 pinst,27,5/11/17,32,9/14/17,32,6/7/18,36.5,12/11/18,36.5,4/25/19,,44.6,8/13/19,
2,queru,2-C3 queru,19,5/11/17,24,9/14/17,24,6/7/18,24,12/11/18,24,4/25/19,,27.8,8/13/19,
2,queru,2-C4 queru,17.8,5/11/17,18,9/14/17,18,6/7/18,18.5,12/11/18,18.5,4/25/19,,20.5,8/13/19,
2,abiba,2-C5 abiba,23.8,5/11/17,23,9/14/17,23,6/7/18,31,12/11/18,31,4/25/19,,32.1,8/13/19,
2,queal,2-D1 queal,35,5/11/17,34,9/14/17,34,6/7/18,38,12/11/18,38,4/25/19,,33.6,8/13/19,
2,aceru,2-D2 aceru,35,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,picgl,2-D3 picgl,18.8,5/11/17,21,9/14/17,21,6/7/18,23.2,12/11/18,23.2,4/25/19,,26.1,8/13/19,
2,quepr,2-D4 quepr,68.7,5/11/17,67,9/14/17,67,6/7/18,71,12/11/18,61,4/25/19,top broken,40.5,8/13/19,
2,queal,2-D5 queal,27,5/11/17,18,9/14/17,7,6/7/18,14,12/11/18,12.8,4/25/19,,60.4,8/13/19,
2,pinri,2-E1 pinri,27,5/11/17,27,9/14/17,27,6/7/18,39,12/11/18,39,4/25/19,,42.7,8/13/19,
2,quepr,2-E2 quepr,48,5/11/17,46,9/14/17,46,6/7/18,51,12/11/18,51,4/25/19,,45.5,8/13/19,measured longest live stem
2,pinta,2-E3 pinta,15,5/11/17,19,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,missing
2,aceru,2-E4 aceru,23.5,5/11/17,22,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,missing
2,pinvi,2-E5 pinvi,10,5/11/17,16,9/14/17,7.2,6/7/18,21.6,12/11/18,15.2,4/25/19,top linked 4.25.19,26.5,8/13/19,
2,picru,2-F1 picru,18.8,5/11/17,18,9/14/17,18,6/7/18,19,12/11/18,19,4/25/19,,24.2,8/13/19,
2,robps,2-F2 robps,16,5/11/17,22,9/14/17,18.1,6/7/18,44.8,12/11/18,44.8,4/25/19,,77.3,8/13/19,
2,abiba,2-F3 abiba,18.2,5/11/17,23,9/14/17,19.3,6/7/18,21,12/11/18,21,4/25/19,,22.6,8/13/19,
2,pinta,2-F4 pinta,15.5,5/11/17,29,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,pinba,2-F5 pinba,23.2,5/11/17,35,9/14/17,33.1,6/7/18,76,12/11/18,76,4/25/19,,104,8/13/19,
2,pruse,2-F6 pruse,60.5,5/11/17,64,9/14/17,64,6/7/18,66,12/11/18,66,4/25/19,,52,8/13/19,measured longest live stem
2,robps,2-G1 robps,38.5,5/11/17,153,9/14/17,153,6/7/18,249,12/11/18,246,4/25/19,,,8/13/19,
2,pruse,2-G2 pruse,47.8,5/11/17,47,9/14/17,14.5,6/7/18,19,12/11/18,19,4/25/19,,28.1,8/13/19,
2,picru,2-G3 picru,20.5,5/11/17,18,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,picgl,2-G4 picgl,27.8,5/11/17,31,9/14/17,31,6/7/18,34,12/11/18,32.5,4/25/19,,39.3,8/13/19,
2,pinri,2-G5 pinri,17.7,5/11/17,23,9/14/17,23,6/7/18,32.8,12/11/18,32.8,4/25/19,,36.5,8/13/19,
2,queru,2-G6 queru,29.8,5/11/17,30,9/14/17,30,6/7/18,34,12/11/18,34,4/25/19,,36.6,8/13/19,
2,pinst,2-H1 pinst,40.7,5/11/17,38,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,junvi,2-H2 junvi,41,5/11/17,38,9/14/17,38,6/7/18,54.5,12/11/18,54.5,4/25/19,,69.5,8/13/19,
2,queal,2-H3 queal,26,5/11/17,25,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,robps,2-H4 robps,40,5/11/17,99,9/14/17,93,6/7/18,201,12/11/18,201,4/25/19,,230,8/13/19,
2,pruse,2-H5 pruse,58,5/11/17,59,9/14/17,16.5,6/7/18,28,12/11/18,28,4/25/19,top dead?,18.5,8/13/19,top dead
2,pinvi,2-H6 pinvi,12.5,5/11/17,16,9/14/17,16,6/7/18,30,12/11/18,30,4/25/19,,42.5,8/13/19,
2,pinba,2-I1 pinba,26,5/11/17,41,9/14/17,40.5,6/7/18,74,12/11/18,72.9,4/25/19,,104.5,8/13/19,
2,pinba,2-I2 pinba,24.5,5/11/17,52,9/14/17,50,6/7/18,89,12/11/18,89,4/25/19,,125.5,8/13/19,
2,lirtu,2-I3 lirtu,34,5/11/17,33,9/14/17,28,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem length"
2,pinst,2-I4 pinst,34,5/11/17,37,9/14/17,36.2,6/7/18,38,12/11/18,38,4/25/19,,55,8/13/19,
2,junvi,2-I5 junvi,14,5/11/17,13,9/14/17,12.2,6/7/18,16.4,12/11/18,16.4,4/25/19,,19.5,8/13/19,
2,picgl,2-I6 picgl,23,5/11/17,27,9/14/17,27,6/7/18,31,12/11/18,31,4/25/19,,39.5,8/13/19,
2,junvi,2-J1 junvi,34.5,5/11/17,34,9/14/17,34,6/7/18,43,12/11/18,43,4/25/19,,46.5,8/13/19,
2,pinst,2-J2 pinst,25.3,5/11/17,29,9/14/17,29,6/7/18,37,12/11/18,36.5,4/25/19,,49,8/13/19,
2,pinvi,2-J3 pinvi,7.8,5/11/17,16,9/14/17,15.7,6/7/18,24,12/11/18,24,4/25/19,,42,8/13/19,
2,picgl,2-J4 picgl,13.1,5/11/17,17,9/14/17,17,6/7/18,18.5,12/11/18,18.5,4/25/19,,21.5,8/13/19,
2,pinba,2-J5 pinba,21.5,5/11/17,31,9/14/17,30,6/7/18,68,12/11/18,68,4/25/19,,96.5,8/13/19,
2,aceru,2-J6 aceru,32.8,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,pruse,2-K1 pruse,72.4,5/11/17,74,9/14/17,74,6/7/18,83,12/11/18,83,4/25/19,,89.5,8/13/19,
2,queal,2-K2 queal,25.8,5/11/17,27,9/14/17,27,6/7/18,28,12/11/18,28,4/25/19,,32,8/13/19,
2,pinta,2-K3 pinta,21.2,5/11/17,36,9/14/17,35.9,6/7/18,38,12/11/18,38,4/25/19,,45,8/13/19,
2,pinri,2-K4 pinri,20.1,5/11/17,23,9/14/17,23,6/7/18,33,12/11/18,33,4/25/19,,47,8/13/19,
2,picru,2-K5 picru,19.5,5/11/17,23,9/14/17,19.2,6/7/18,19,12/11/18,19,4/25/19,,21.5,8/13/19,
2,pinst,2-K6 pinst,28.7,5/11/17,30,9/14/17,29.5,6/7/18,36,12/11/18,36,4/25/19,,37,8/13/19,
2,picgl,2-L1 picgl,26.5,5/11/17,32,9/14/17,32,6/7/18,33,12/11/18,33,4/25/19,,35.5,8/13/19,
2,quepr,2-L2 quepr,43.9,5/11/17,41,9/14/17,41,6/7/18,48,12/11/18,48,4/25/19,,50.5,8/13/19,
2,pinba,2-L3 pinba,15.2,5/11/17,22,9/14/17,22,6/7/18,48,12/11/18,48,4/25/19,,78.5,8/13/19,
2,quepr,2-L4 quepr,72.5,5/11/17,73,9/14/17,73,6/7/18,75,12/11/18,75,4/25/19,,5,8/13/19,"top dead, sprouts at stem base"
2,aceru,2-L5 aceru,22.1,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,picru,2-L6 picru,20.5,5/11/17,18,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,abiba,2-M1 abiba,15.3,5/11/17,22,9/14/17,21.4,6/7/18,23,12/11/18,23,4/25/19,,21,8/13/19,
2,picgl,2-M2 picgl,18.7,5/11/17,18,9/14/17,18,6/7/18,23,12/11/18,23,4/25/19,,25.5,8/13/19,
2,aceru,2-M3 aceru,25.8,5/11/17,26,9/14/17,23.7,6/7/18,26,12/11/18,,4/25/19,,,8/13/19,"dead, total stem length"
2,pinvi,2-M4 pinvi,7.5,5/11/17,12,9/14/17,12,6/7/18,19,12/11/18,19,4/25/19,,27,8/13/19,
2,robps,2-M5 robps,31.2,5/11/17,42,9/14/17,41.7,6/7/18,131,12/11/18,131,4/25/19,,170,8/13/19,
2,robps,2-M6 robps,,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,pinta,2-N1 pinta,13.3,5/11/17,24,9/14/17,22.6,6/7/18,40,12/11/18,40,4/25/19,,43,8/13/19,
2,queru,2-N2 queru,24.8,5/11/17,26,9/14/17,8.4,6/7/18,13,12/11/18,8,4/25/19,top broken 4.25.19,7,8/13/19,top broken
2,pinri,2-N3 pinri,20.2,5/11/17,28,9/14/17,28,6/7/18,44,12/11/18,44,4/25/19,,52,8/13/19,
2,queal,2-N4 queal,25.1,5/11/17,27,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,pinta,2-N5 pinta,14.6,5/11/17,23,9/14/17,23,6/7/18,29,12/11/18,29,4/25/19,,31.5,8/13/19,
2,pinvi,2-O1 pinvi,10.1,5/11/17,27,9/14/17,18,6/7/18,30.5,12/11/18,30,4/25/19,,48,8/13/19,
2,picru,2-O2 picru,22.9,5/11/17,23,9/14/17,23,6/7/18,23.7,12/11/18,23.7,4/25/19,,23.5,8/13/19,
2,abiba,2-O3 abiba,13,5/11/17,11,9/14/17,11,6/7/18,12.2,12/11/18,12.2,4/25/19,,13,8/13/19,
2,junvi,2-O4 junvi,21,5/11/17,23,9/14/17,23,6/7/18,27,12/11/18,27,4/25/19,,36,8/13/19,
2,pinst,2-O5 pinst,16.1,5/11/17,20,9/14/17,20,6/7/18,25,12/11/18,25,4/25/19,,29.5,8/13/19,
2,lirtu,2-P1 lirtu,38.8,5/11/17,41,9/14/17,41,6/7/18,44.5,12/11/18,,4/25/19,,,8/13/19,"dead, total stem length"
2,junvi,2-P2 junvi,40.5,5/11/17,40,9/14/17,40,6/7/18,47,12/11/18,47,4/25/19,,51.5,8/13/19,
2,lirtu,2-P3 lirtu,36.9,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
2,queru,2-P4 queru,19.5,5/11/17,15,9/14/17,15,6/7/18,21,12/11/18,21,4/25/19,,24.5,8/13/19,
2,pruse,2-P5 pruse,35.8,5/11/17,41,9/14/17,40.4,6/7/18,39,12/11/18,39,4/25/19,,24,8/13/19,top dead
2,queru,2-Q1 queru,36.1,5/11/17,40,9/14/17,40,6/7/18,43,12/11/18,42.5,4/25/19,,45.5,8/13/19,
2,robps,2-Q2 robps,37.5,5/11/17,190,9/14/17,190,6/7/18,325,12/11/18,325,4/25/19,,400,8/13/19,
2,pruse,2-Q3 pruse,51.3,5/11/17,51,9/14/17,32.9,6/7/18,35,12/11/18,35,4/25/19,,47,8/13/19,
2,abiba,2-Q4 abiba,17.8,5/11/17,13,9/14/17,11.6,6/7/18,14,12/11/18,14,4/25/19,,23.5,8/13/19,
2,lirtu,2-Q5 lirtu,26.9,5/11/17,30,9/14/17,30,6/7/18,36,12/11/18,,4/25/19,,,8/13/19,dead
2,quepr,2-R2 quepr,62.7,5/11/17,66,9/14/17,66,6/7/18,73,12/11/18,73,4/25/19,,30,8/13/19,
2,pinba,2-R3 pinba,29.2,5/11/17,38,9/14/17,19.7,6/7/18,36.5,12/11/18,36.5,4/25/19,,28,8/13/19,
