Site,Species,Sapling,Length1,Date1,Length2,Date2,Length3,Date3,Length4,Date4,Length5,Date5,Notes5,Length6,Date6,Notes6
2,pinri,2-R4 pinri,24.3,5/11/17,28,9/14/17,28,6/7/18,45.5,12/11/18,45.5,4/25/19,,26,8/13/19,
2,queal,2-R5 queal,31,5/11/17,29,9/14/17,11,6/7/18,29,12/11/18,17,4/25/19,top looks dead 4.25.19,11,8/13/19,top dead
3,lirtu,3-A2 lirtu,30,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinta,3-A3 pinta,29.5,5/11/17,34,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,abiba,3-A4 abiba,29,5/11/17,23,9/14/17,21.5,6/7/18,24.5,12/11/18,24.5,4/25/19,,29.5,8/13/19,
3,junvi,3-A5 junvi,28,5/11/17,29,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,aceru,3-B1 aceru,26,5/11/17,26,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinvi,3-B2 pinvi,10.5,5/11/17,28,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,pinri,3-B3 pinri,33,5/11/17,30,9/14/17,30,6/7/18,43,12/11/18,43,4/25/19,,72.5,8/13/19,
3,lirtu,3-B4 lirtu,32.3,5/11/17,38,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,picru,3-B5 picru,16.4,5/11/17,18,9/14/17,17,6/7/18,17.5,12/11/18,17.5,4/25/19,,25,8/13/19,
3,quepr,3-C1 quepr,43.8,5/11/17,51,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,missing
3,pinst,3-C2 pinst,31.5,5/11/17,40,9/14/17,39,6/7/18,45,12/11/18,45,4/25/19,,63,8/13/19,
3,queru,3-C3 queru,21,5/11/17,26,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,queru,3-C4 queru,19,5/11/17,17,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,abiba,3-C5 abiba,24,5/11/17,29,9/14/17,29,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,queal,3-D1 queal,23.5,5/11/17,22,9/14/17,7.5,6/7/18,23,12/11/18,23,4/25/19,,,8/13/19,"dead, total stem height"
3,aceru,3-D2 aceru,25,5/11/17,27,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,picgl,3-D3 picgl,27.5,5/11/17,28,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,quepr,3-D4 quepr,27.8,5/11/17,19,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,gone
3,queal,3-D5 queal,26.6,5/11/17,28,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinri,3-E1 pinri,24.5,5/11/17,14,9/14/17,14,6/7/18,45,12/11/18,45,4/25/19,,72.5,8/13/19,
3,quepr,3-E2 quepr,54.6,5/11/17,52,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,gone
3,pinta,3-E3 pinta,16.8,5/11/17,24,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,aceru,3-E4 aceru,28,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinvi,3-E5 pinvi,12.5,5/11/17,26,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,picru,3-F1 picru,19,5/11/17,16,9/14/17,8.5,6/7/18,14,12/11/18,14,4/25/19,uprooting,,8/13/19,
3,robps,3-F2 robps,38,5/11/17,67,9/14/17,33.5,6/7/18,138,12/11/18,138,4/25/19,,150,8/13/19,
3,abiba,3-F3 abiba,19.2,5/11/17,24,9/14/17,21,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinta,3-F4 pinta,12,5/11/17,17,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,dead
3,pinba,3-F5 pinba,27,5/11/17,31,9/14/17,31,6/7/18,56,12/11/18,56,4/25/19,,83,8/13/19,
3,pruse,3-F6 pruse,58.6,5/11/17,57,9/14/17,,6/7/18,56,12/11/18,,4/25/19,,,8/13/19,
3,robps,3-G1 robps,38,5/11/17,82,9/14/17,48.7,6/7/18,59,12/11/18,,4/25/19,,,8/13/19,
3,pruse,3-G2 pruse,34,5/11/17,34,9/14/17,,6/7/18,37,12/11/18,,4/25/19,,,8/13/19,
3,picru,3-G3 picru,18,5/11/17,18,9/14/17,14,6/7/18,19,12/11/18,19,4/25/19,,21,8/13/19,
3,picgl,3-G4 picgl,30,5/11/17,36,9/14/17,31.5,6/7/18,39,12/11/18,39,4/25/19,,40.5,8/13/19,
3,pinri,3-G5 pinri,27,5/11/17,35,9/14/17,35,6/7/18,48.5,12/11/18,48.5,4/25/19,,72,8/13/19,
3,queru,3-G6 queru,24.5,5/11/17,25,9/14/17,25,6/7/18,27,12/11/18,27,4/25/19,,11,8/13/19,top dead
3,pinst,3-H1 pinst,29,5/11/17,33,9/14/17,33,6/7/18,33,12/11/18,33,4/25/19,,54,8/13/19,
3,junvi,3-H2 junvi,17.2,5/11/17,19,9/14/17,18.1,6/7/18,19,12/11/18,19,4/25/19,in decline ,20,8/13/19,
3,queal,3-H3 queal,22,5/11/17,20,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,robps,3-H4 robps,45,5/11/17,86,9/14/17,52.5,6/7/18,110,12/11/18,110,4/25/19,,118,8/13/19,
3,pruse,3-H5 pruse,65,5/11/17,69,9/14/17,47.5,6/7/18,44,12/11/18,20,4/25/19,top dead,29.5,8/13/19,measured longest stem
3,pinvi,3-H6 pinvi,9.8,5/11/17,23,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,pinba,3-I1 pinba,17.5,5/11/17,19,9/14/17,19,6/7/18,38.5,12/11/18,37.5,4/25/19,,52.5,8/13/19,
3,pinba,3-I2 pinba,30,5/11/17,45,9/14/17,43,6/7/18,61,12/11/18,61,4/25/19,,94,8/13/19,
3,lirtu,3-I3 lirtu,25,5/11/17,24,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinst,3-I4 pinst,33,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,junvi,3-I5 junvi,26,5/11/17,27,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,picgl,3-I6 picgl,18,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,junvi,3-J1 junvi,25,5/11/17,24,9/14/17,15.4,6/7/18,15.5,12/11/18,,4/25/19,,,8/13/19,
3,pinst,3-J2 pinst,29.5,5/11/17,35,9/14/17,35,6/7/18,38.5,12/11/18,38.5,4/25/19,,52.5,8/13/19,
3,pinvi,3-J3 pinvi,18.5,5/11/17,28,9/14/17,23,6/7/18,38,12/11/18,29,4/25/19,in decline ,,8/13/19,"dead, total stem height"
3,picgl,3-J4 picgl,18,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinba,3-J5 pinba,33,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,aceru,3-J6 aceru,21.5,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pruse,3-K1 pruse,59.5,5/11/17,62,9/14/17,60.2,6/7/18,56,12/11/18,56,4/25/19,,57.5,8/13/19,
3,queal,3-K2 queal,38,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinta,3-K3 pinta,17,5/11/17,22,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinri,3-K4 pinri,21,5/11/17,29,9/14/17,29,6/7/18,43,12/11/18,43,4/25/19,,60.5,8/13/19,
3,picru,3-K5 picru,11,5/11/17,14,9/14/17,12.9,6/7/18,13,12/11/18,13,4/25/19,,15.2,8/13/19,
3,pinst,3-K6 pinst,30,5/11/17,28,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,picgl,3-L1 picgl,18,5/11/17,21,9/14/17,21,6/7/18,23.8,12/11/18,23.8,4/25/19,,32.6,8/13/19,
3,quepr,3-L2 quepr,48.5,5/11/17,53,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinba,3-L3 pinba,38.5,5/11/17,51,9/14/17,51,6/7/18,66,12/11/18,66,4/25/19,,91,8/13/19,
3,quepr,3-L4 quepr,87,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,aceru,3-L5 aceru,19,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,picru,3-L6 picru,15.2,5/11/17,15,9/14/17,15,6/7/18,15.8,12/11/18,15,4/25/19,,16.5,8/13/19,
3,abiba,3-M1 abiba,17,5/11/17,19,9/14/17,19,6/7/18,19,12/11/18,19,4/25/19,,23,8/13/19,
3,picgl,3-M2 picgl,20.5,5/11/17,20,9/14/17,20,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,aceru,3-M3 aceru,25.5,5/11/17,25,9/14/17,11.7,6/7/18,14.7,12/11/18,14.7,4/25/19,,17.1,8/13/19,broken top
3,pinvi,3-M4 pinvi,11.5,5/11/17,18,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,robps,3-M5 robps,40,5/11/17,48,9/14/17,11.5,6/7/18,84,12/11/18,83,4/25/19,,106.5,8/13/19,
3,robps,3-M6 robps,37.2,5/11/17,83,9/14/17,43.3,6/7/18,117,12/11/18,117,4/25/19,,148,8/13/19,
3,pinta,3-N1 pinta,20,5/11/17,25,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,gone
3,queru,3-N2 queru,17,5/11/17,17,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinri,3-N3 pinri,26.5,5/11/17,35,9/14/17,30.8,6/7/18,44,12/11/18,44,4/25/19,,55.7,8/13/19,
3,queal,3-N4 queal,27,5/11/17,23,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinta,3-N5 pinta,16,5/11/17,15,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinvi,3-O1 pinvi,13,5/11/17,17,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height. looks browsed"
3,picru,3-O2 picru,13.5,5/11/17,10,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,gone
3,abiba,3-O3 abiba,20.5,5/11/17,20,9/14/17,20,6/7/18,21,12/11/18,21,4/25/19,,24.9,8/13/19,
3,junvi,3-O4 junvi,22,5/11/17,22,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,pinst,3-O5 pinst,25,5/11/17,27,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,lirtu,3-P1 lirtu,34,5/11/17,33,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,junvi,3-P2 junvi,25.5,5/11/17,24,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,lirtu,3-P3 lirtu,21.3,5/11/17,,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,queru,3-P4 queru,31.5,5/11/17,30,9/14/17,30,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
3,pruse,3-P5 pruse,53,5/11/17,61,9/14/17,3.2,6/7/18,26,12/11/18,26,4/25/19,,54.4,8/13/19,
3,queru,3-Q1 queru,18,5/11/17,12,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,robps,3-Q2 robps,53.5,5/11/17,15,9/14/17,15,6/7/18,150,12/11/18,140,4/25/19,top dead,170,8/13/19,
3,pruse,3-Q3 pruse,68,5/11/17,59,9/14/17,37,6/7/18,59,12/11/18,59,4/25/19,,73.8,8/13/19,
3,abiba,3-Q4 abiba,18.8,5/11/17,20,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,lirtu,3-Q5 lirtu,26,5/11/17,24,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,quepr,3-R2 quepr,38.5,5/11/17,38,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,pinba,3-R3 pinba,30.5,5/11/17,38,9/14/17,38,6/7/18,44.5,12/11/18,44.5,4/25/19,,56,8/13/19,top dead
3,pinri,3-R4 pinri,31.5,5/11/17,27,9/14/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
3,queal,3-R5 queal,18.5,5/11/17,17,9/14/17,17,6/7/18,,12/11/18,,4/25/19,,,8/13/19,"dead, total stem height"
4,lirtu,4-A2 lirtu,33.5,5/9/17,16.5,9/26/17,16.5,6/7/18,46.5,12/11/18,46.5,4/25/19,,52.3,8/13/19,
4,pinta,4-A3 pinta,24.5,5/9/17,26,9/26/17,,6/7/18,,12/11/18,,4/25/19,dead,,8/13/19,
4,abiba,4-A4 abiba,24,5/9/17,22,9/26/17,22,6/7/18,37,12/11/18,35.5,4/25/19,,47.1,8/13/19,
4,junvi,4-A5 junvi,44.8,5/9/17,44,9/26/17,39.5,6/7/18,51.5,12/11/18,51.5,4/25/19,,51.5,8/13/19,
4,aceru,4-B1 aceru,29.5,5/9/17,,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,pinvi,4-B2 pinvi,13.5,5/9/17,31.5,9/26/17,31.5,6/7/18,65.5,12/11/18,65,4/25/19,,64.9,8/13/19,
4,pinri,4-B3 pinri,48,5/9/17,57.5,9/26/17,57.5,6/7/18,94,12/11/18,94,4/25/19,,125,8/13/19,
4,lirtu,4-B4 lirtu,32.8,5/9/17,,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,picru,4-B5 picru,17,5/12/17,20,9/26/17,20,6/7/18,20,12/11/18,20,4/25/19,,27.6,8/13/19,
4,quepr,4-C1 quepr,30.9,5/9/17,,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,pinst,4-C2 pinst,25,5/9/17,24,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,queru,4-C3 queru,21.7,5/9/17,17.5,9/26/17,17.5,6/7/18,21,12/11/18,21,4/25/19,,23.7,8/13/19,
4,queru,4-C4 queru,37,5/9/17,35.5,9/26/17,,6/7/18,,12/11/18,,4/25/19,dead,,8/13/19,
4,abiba,4-C5 abiba,18.8,5/9/17,24,9/26/17,24,6/7/18,33,12/11/18,33,4/25/19,,42.8,8/13/19,
4,queal,4-D1 queal,14,5/9/17,23,9/26/17,23,6/7/18,40,12/11/18,40,4/25/19,,49.5,8/13/19,
4,aceru,4-D2 aceru,22,5/9/17,21.5,9/26/17,18.5,6/7/18,25.5,12/11/18,25.5,4/25/19,,32.5,8/13/19,
4,picgl,4-D3 picgl,21,5/9/17,26.5,9/26/17,26.5,6/7/18,27,12/11/18,27,4/25/19,,32.9,8/13/19,
4,quepr,4-D4 quepr,51.3,5/9/17,56,9/26/17,56,6/7/18,63.5,12/11/18,63.5,4/25/19,,56.1,8/13/19,
4,queal,4-D5 queal,36.5,5/9/17,44.5,9/26/17,44.5,6/7/18,54.5,12/11/18,54.5,4/25/19,,68.5,8/13/19,
4,pinri,4-E1 pinri,29.5,5/9/17,43.5,9/26/17,43.5,6/7/18,68,12/11/18,68,4/25/19,,62.2,8/13/19,
4,quepr,4-E2 quepr,44,5/9/17,55,9/26/17,55,6/7/18,66.5,12/11/18,66.5,4/25/19,top dead,61.2,8/13/19,
4,pinta,4-E3 pinta,18,5/9/17,21,9/26/17,,6/7/18,,12/11/18,,4/25/19,dead,,8/13/19,
4,aceru,4-E4 aceru,21,5/9/17,17.5,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,pinvi,4-E5 pinvi,15,5/9/17,31.5,9/26/17,31.5,6/7/18,21.5,12/11/18,21.5,4/25/19,"top dead, in decline",27,8/13/19,
4,picru,4-F1 picru,15,5/12/17,19,9/26/17,19,6/7/18,30,12/11/18,30,4/25/19,,44.4,8/13/19,
4,robps,4-F2 robps,40,5/9/17,161.5,9/26/17,145,6/7/18,295,12/11/18,295,4/25/19,,420,8/13/19,
4,abiba,4-F3 abiba,9.8,5/9/17,13,9/26/17,13,6/7/18,15,12/11/18,15,4/25/19,,23.1,8/13/19,
4,pinta,4-F4 pinta,19,5/9/17,35.5,9/26/17,35.5,6/7/18,51.5,12/11/18,51,4/25/19,in severe decline 4.26.19,23.1,8/13/19,
4,pinba,4-F5 pinba,14.7,5/9/17,24.5,9/26/17,24.5,6/7/18,65.5,12/11/18,65.5,4/25/19,,71.2,8/13/19,
4,pruse,4-F6 pruse,,5/9/17,,9/26/17,,6/7/18,,12/11/18,,4/25/19,Aspen,,8/13/19,Aspen
4,robps,4-G1 robps,43,5/9/17,120,9/26/17,120,6/7/18,206,12/11/18,206,4/25/19,,260,8/13/19,
4,pruse,4-G2 pruse,52.8,5/9/17,147,9/26/17,140,6/7/18,179,12/11/18,179,4/25/19,,200,8/13/19,
4,picru,4-G3 picru,22.4,5/12/17,23.5,9/26/17,23.5,6/7/18,32.5,12/11/18,32.5,4/25/19,,41.5,8/13/19,
4,picgl,4-G4 picgl,31.5,5/9/17,37.5,9/26/17,36,6/7/18,41,12/11/18,41,4/25/19,,47.9,8/13/19,
4,pinri,4-G5 pinri,25.3,5/9/17,26.5,9/26/17,26.5,6/7/18,41.5,12/11/18,41.5,4/25/19,,49.9,8/13/19,
4,queru,4-G6 queru,31,5/9/17,38,9/26/17,38,6/7/18,49.5,12/11/18,49.5,4/25/19,,64.4,8/13/19,
4,pinst,4-H1 pinst,25.5,5/9/17,27,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,junvi,4-H2 junvi,29.9,5/9/17,44.5,9/26/17,44.5,6/7/18,65,12/11/18,64.5,4/25/19,,58.5,8/13/19,
4,queal,4-H3 queal,26.5,5/9/17,27,9/26/17,16.5,6/7/18,27,12/11/18,19,4/25/19,top dead? measured lower leader 4.26.19,18.1,8/13/19,
4,robps,4-H4 robps,26,5/9/17,57,9/26/17,57,6/7/18,85,12/11/18,76,4/25/19,"top dead, unclear where live and is 4.26.19",94.8,8/13/19,
4,pruse,4-H5 pruse,59.8,5/9/17,81.5,9/26/17,81.5,6/7/18,138,12/11/18,137,4/25/19,top dead,150,8/13/19,
4,pinvi,4-H6 pinvi,17.7,5/9/17,39.5,9/26/17,34.5,6/7/18,59,12/11/18,,4/25/19,dead,,8/13/19,
4,pinba,4-I1 pinba,16,5/9/17,29.5,9/26/17,29.5,6/7/18,57,12/11/18,57,4/25/19,,95.2,8/13/19,
4,pinba,4-I2 pinba,59.5,5/9/17,66,9/26/17,66,6/7/18,89,12/11/18,89,4/25/19,,88.1,8/13/19,
4,lirtu,4-I3 lirtu,41,5/9/17,,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,pinst,4-I4 pinst,33,5/9/17,38.5,9/26/17,38.5,6/7/18,48,12/11/18,48,4/25/19,,50.9,8/13/19,
4,junvi,4-I5 junvi,29,5/9/17,32.5,9/26/17,32.5,6/7/18,40,12/11/18,40,4/25/19,top dead,38.3,8/13/19,
4,picgl,4-I6 picgl,29.3,5/9/17,36,9/26/17,36,6/7/18,49,12/11/18,49,4/25/19,,65.8,8/13/19,
4,junvi,4-J1 junvi,32,5/9/17,44.5,9/26/17,44.5,6/7/18,70.5,12/11/18,70.5,4/25/19,,79,8/13/19,
4,pinst,4-J2 pinst,13,5/9/17,19,9/26/17,18,6/7/18,28,12/11/18,27,4/25/19,,51.5,8/13/19,
4,pinvi,4-J3 pinvi,18.5,5/9/17,37,9/26/17,37,6/7/18,74,12/11/18,74,4/25/19,in decline,,8/13/19,"dead, total stem length"
4,picgl,4-J4 picgl,9.5,5/9/17,13,9/26/17,13,6/7/18,21,12/11/18,,4/25/19,dead,,8/13/19,
4,pinba,4-J5 pinba,29.5,5/9/17,57.5,9/26/17,57.5,6/7/18,115,12/11/18,115,4/25/19,in decline,115,8/13/19,
4,aceru,4-J6 aceru,20.3,5/9/17,19.5,9/26/17,17.8,6/7/18,30.5,12/11/18,30.5,4/25/19,dead?,40,8/13/19,
4,pruse,4-K1 pruse,38.9,5/9/17,,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,queal,4-K2 queal,22,5/9/17,19,9/26/17,19,6/7/18,25.5,12/11/18,25,4/25/19,,24.5,8/13/19,
4,pinta,4-K3 pinta,15,5/9/17,38.5,9/26/17,,6/7/18,,12/11/18,,4/25/19,dead,,8/13/19,
4,pinri,4-K4 pinri,17,5/9/17,31.5,9/26/17,31.5,6/7/18,49,12/11/18,49,4/25/19,"top dead, in decline",66,8/13/19,
4,picru,4-K5 picru,15,5/12/17,15.5,9/26/17,15.5,6/7/18,25.5,12/11/18,25.5,4/25/19,,39,8/13/19,
4,pinst,4-K6 pinst,36,5/9/17,33.5,9/26/17,27,6/7/18,52,12/11/18,52,4/25/19,,70.5,8/13/19,
4,picgl,4-L1 picgl,29,5/9/17,33,9/26/17,33,6/7/18,40,12/11/18,40,4/25/19,,54,8/13/19,
4,quepr,4-L2 quepr,46.1,5/9/17,48.5,9/26/17,48.5,6/7/18,59,12/11/18,59,4/25/19,top dead ?,79,8/13/19,
4,pinba,4-L3 pinba,32,5/9/17,49,9/26/17,49,6/7/18,85.5,12/11/18,85.5,4/25/19,,125,8/13/19,
4,quepr,4-L4 quepr,48,5/9/17,52,9/26/17,52,6/7/18,53,12/11/18,53,4/25/19,"several leaders, measured longest",59,8/13/19,
4,aceru,4-L5 aceru,19,5/9/17,,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,picru,4-L6 picru,34,5/12/17,37,9/26/17,37,6/7/18,25,12/11/18,25,4/25/19,"top dead, in decline",,8/13/19,"dead, total stem length"
4,abiba,4-M1 abiba,17,5/9/17,27.5,9/26/17,27.5,6/7/18,41,12/11/18,41,4/25/19,,44,8/13/19,
4,picgl,4-M2 picgl,16,5/9/17,22.5,9/26/17,22.5,6/7/18,32,12/11/18,31,4/25/19,,40,8/13/19,
4,aceru,4-M3 aceru,16,5/9/17,12,9/26/17,7.5,6/7/18,12,12/11/18,12,4/25/19,dead?,,8/13/19,dead
4,pinvi,4-M4 pinvi,15,5/9/17,43,9/26/17,33,6/7/18,52,12/11/18,51,4/25/19,"top dead, in decline",,8/13/19,"dead, total stem length"
4,robps,4-M5 robps,43,5/9/17,134,9/26/17,134,6/7/18,240,12/11/18,240,4/25/19,top dead,290,8/13/19,
4,robps,4-M6 robps,41.9,5/9/17,136,9/26/17,136,6/7/18,262,12/11/18,262,4/25/19,,315,8/13/19,
4,pinta,4-N1 pinta,16,5/9/17,43,9/26/17,,6/7/18,,12/11/18,,4/25/19,dead,,8/13/19,
4,queru,4-N2 queru,21.2,5/9/17,31,9/26/17,28,6/7/18,42,12/11/18,42,4/25/19,,59,8/13/19,
4,pinri,4-N3 pinri,27.5,5/9/17,41,9/26/17,41,6/7/18,76,12/11/18,76,4/25/19,,90,8/13/19,
4,queal,4-N4 queal,47,5/9/17,47.5,9/26/17,1.5,6/7/18,24,12/11/18,24,4/25/19,,31,8/13/19,
4,pinta,4-N5 pinta,14.5,5/9/17,29.5,9/26/17,,6/7/18,,12/11/18,,4/25/19,dead,,8/13/19,
4,pinvi,4-O1 pinvi,20.5,5/9/17,43,9/26/17,22,6/7/18,33,12/11/18,33,4/25/19,"top dead, measured new leader",,8/13/19,"dead, total stem length"
4,picru,4-O2 picru,15,5/12/17,15.5,9/26/17,15.5,6/7/18,21.5,12/11/18,21.5,4/25/19,in decline,22.5,8/13/19,
4,abiba,4-O3 abiba,9,5/9/17,10.5,9/26/17,10.5,6/7/18,20,12/11/18,20,4/25/19,,31,8/13/19,
4,junvi,4-O4 junvi,32.1,5/9/17,53.5,9/26/17,53.5,6/7/18,55,12/11/18,55,4/25/19,in decline,71,8/13/19,
4,pinst,4-O5 pinst,19.5,5/9/17,22.5,9/26/17,22.5,6/7/18,36,12/11/18,36,4/25/19,,45,8/13/19,
4,lirtu,4-P1 lirtu,33.2,5/9/17,33.5,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,junvi,4-P2 junvi,40.3,5/9/17,64,9/26/17,64,6/7/18,70,12/11/18,70,4/25/19,,78.5,8/13/19,
4,lirtu,4-P3 lirtu,37,5/9/17,38.5,9/26/17,,6/7/18,,12/11/18,,4/25/19,dead,,8/13/19,
4,queru,4-P4 queru,28.8,5/9/17,33,9/26/17,33,6/7/18,33,12/11/18,33,4/25/19,dead?,13,8/13/19,top dead
4,pruse,4-P5 pruse,83.5,5/9/17,99.5,9/26/17,99.5,6/7/18,155,12/11/18,155,4/25/19,,170,8/13/19,
4,queru,4-Q1 queru,39.8,5/9/17,47,9/26/17,25,6/7/18,37.5,12/11/18,37.5,4/25/19,"top dead, measured new leader",38.5,8/13/19,
4,robps,4-Q2 robps,41,5/9/17,152,9/26/17,152,6/7/18,265,12/11/18,265,4/25/19,,330,8/13/19,
4,pruse,4-Q3 pruse,36.7,5/9/17,109,9/26/17,107,6/7/18,154,12/11/18,154,4/25/19,,190,8/13/19,
4,abiba,4-Q4 abiba,15.2,5/9/17,18.5,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,lirtu,4-Q5 lirtu,30.5,5/9/17,31.5,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,
4,quepr,4-R2 quepr,47,5/9/17,53.5,9/26/17,53.5,6/7/18,56,12/11/18,56,4/25/19,,59.5,8/13/19,
4,pinba,4-R3 pinba,19,5/9/17,34.5,9/26/17,34.5,6/7/18,63,12/11/18,63,4/25/19,,95,8/13/19,
4,pinri,4-R4 pinri,32.4,5/9/17,54.5,9/26/17,54.5,6/7/18,93.5,12/11/18,91.5,4/25/19,in decline ,110,8/13/19,
4,queal,4-R5 queal,20,5/9/17,18,9/26/17,,6/7/18,,12/11/18,,4/25/19,,,8/13/19,